name,comnum,company,display,clevel,cpu,cpu2,cpu3,os,memory,ssd,weight,glevel,graphic,price
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 WIN10 16GB램,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,16,512,1.3,1,Radeon Graphics,798980
MSI 모던시리즈 모던14 B5M-R5 32GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),32,512,1.3,1,Radeon Graphics,790000
MSI 모던시리즈 모던15 A11M-i5 카본 그레이,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,1000,1.6,1,Iris Xe,789590
MSI 모던시리즈 모던15 A11M-i5 카본 그레이 WIN10,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,512,1.6,1,Iris Xe,788650
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 WIN10,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,8,512,1.3,1,Radeon Graphics,784890
삼성전자 노트북 플러스2 NT550XDZ-AD5A,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.81,1,Iris Xe,716830
레노버 아이디어패드 Slim5-15ITL Premiere i5,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.69,2,MX450,799000
MSI 모던시리즈 모던14 B11MO-i3 WIN10 16GB램,1,MSI,14,2,인텔,코어i3-11세대,i3-1115G4 ,윈도우10,16,256,1.3,1,UHD Graphics,728990
ASUS 비보북 S15 S533EQ-BQ024,1,ASUS,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,512,1.8,1,Iris Xe,765000
MSI 모던시리즈 모던14 B10MW-i5 카본 그레이 WIN10,1,MSI,14,2,인텔,코어i5-10세대,i5-10210U ,윈도우10,8,256,1.3,1,UHD Graphics,790000
ASUS 비보북 S15 M533IA-BN298,1,ASUS,15.6,4,AMD,라이젠7-3세대,4700U ,미포함(프리도스),8,512,1.8,1,Radeon Graphics,799000
ASUS 비보북 16X X1603ZA-MB139,1,ASUS,16,4,인텔,코어i5-12세대,i5-12500H ,미포함(프리도스),8,256,1.87,1,Iris Xe,849000
LG전자 2021 울트라PC 15U50P-GR56K,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,256,1.8,1,Iris Xe,864980
레노버 게이밍 3 15ACH R5 3050,1,레노버,15.6,3,AMD,라이젠5-4세대,5600H ,미포함(프리도스),8,256,2.25,4,RTX3050,850000
삼성전자 갤럭시북S NT767XCL-KC58S,2,삼성전자,13.3,2,인텔,코어i5-10세대,i5-L16G7 ,윈도우10,8,256,1,1,UHD Graphics,869990
